time;Bx;By;Bz;Btotal
13,006999969482422;0,18;14,73;-52,83;54,85
13,103999853134155;0,21;14,74;-52,65;54,67
13,205999851226807;0,24;14,64;-52,92;54,91
13,305999994277954;0,11;14,77;-53,01;55,02
13,407000064849854;0,16;14,81;-52,99;55,02
13,507999897003174;0,10;14,90;-52,75;54,81
13,60699987411499;0,28;14,73;-52,82;54,84
13,705999851226807;0,10;14,79;-52,75;54,79
13,807999849319458;0,08;14,77;-52,56;54,60
13,905999898910522;0,15;14,68;-52,74;54,74
14,007999897003174;0,14;14,66;-52,70;54,70
14,108000040054321;0,25;14,83;-52,74;54,78
14,207000017166138;0,15;14,97;-52,90;54,98
14,307999849319458;0,17;14,87;-52,52;54,59
14,405999898910522;0,27;14,64;-52,41;54,41
14,506999969482422;0,19;14,74;-52,61;54,64
14,608999967575073;0,22;14,75;-52,46;54,49
14,70799994468689;0,16;14,92;-52,58;54,66
14,805999994277954;0,09;14,88;-52,73;54,79
14,907000064849854;0,27;14,72;-52,64;54,66
15,009000062942505;0,26;14,67;-52,57;54,58
15,10699987411499;0,31;14,53;-52,66;54,63
15,208999872207642;0,36;14,39;-52,81;54,74
15,307999849319458;0,28;14,28;-52,72;54,62
15,40999984741211;0,20;14,44;-52,88;54,82
15,509000062942505;0,24;14,50;-52,68;54,64
15,608999967575073;0,21;14,31;-52,79;54,69
15,708999872207642;0,18;14,52;-52,60;54,57
15,807999849319458;0,14;14,71;-52,93;54,93
15,90999984741211;0,20;14,43;-52,78;54,71
16,009999990463257;0,18;14,75;-52,85;54,87
16,109999895095825;0,24;14,52;-52,35;54,33
16,210000038146973;0,15;14,76;-52,32;54,36
16,30900001525879;0,25;14,61;-52,62;54,61
16,40999984741211;0,28;14,63;-52,43;54,44
16,509999990463257;0,26;14,53;-52,51;54,49
16,60800004005432;0,20;14,56;-52,56;54,54
16,710000038146973;0,24;14,43;-52,44;54,39
16,80999994277954;0,32;14,60;-52,47;54,47
16,90999984741211;0,29;14,66;-52,51;54,52
17,009000062942505;0,09;14,78;-52,37;54,41
17,108999967575073;0,21;14,67;-52,53;54,54
17,20899987220764;0,18;14,59;-52,67;54,66
17,30900001525879;0,22;14,61;-52,49;54,49
17,408999919891357;0,13;14,64;-52,55;54,55
17,509000062942505;0,15;14,47;-52,74;54,69
17,609999895095825;0,13;14,69;-52,65;54,66
17,70899987220764;0,28;14,66;-52,54;54,55
17,80999994277954;0,21;14,57;-52,59;54,57
17,908999919891357;0,13;14,74;-52,52;54,55
18,009999990463257;0,17;14,75;-52,59;54,62
18,111000061035156;0,12;14,75;-52,54;54,57
18,20899987220764;0,21;14,56;-52,31;54,30
18,30999994277954;0,24;14,68;-52,50;54,51
18,41100001335144;0,17;14,67;-52,34;54,36
18,51099991798401;0,17;14,74;-52,45;54,48
18,608999967575073;0,10;14,72;-52,32;54,35
18,710000038146973;0,12;14,72;-52,43;54,45
18,80900001525879;0,11;14,55;-52,55;54,53
18,90999984741211;0,16;14,57;-52,49;54,47
19,01199984550476;0,25;14,48;-52,61;54,57
19,111999988555908;0,14;14,71;-52,52;54,54
19,211999893188477;0,17;14,64;-52,55;54,55
19,310999870300293;0,12;14,66;-52,52;54,52
19,411999940872192;0,17;14,68;-52,46;54,48
19,51199984550476;0,19;14,44;-52,54;54,48
19,608999967575073;0,17;14,56;-52,57;54,55
19,713000059127808;0,21;14,54;-52,37;54,35
19,812000036239624;0,25;14,46;-52,41;54,36
19,91100001335144;0,21;14,53;-52,44;54,41
20,01099991798401;0,21;14,44;-52,53;54,48
20,111000061035156;0,25;14,44;-52,38;54,34
20,213000059127808;0,30;14,51;-52,27;54,24
20,310999870300293;0,29;14,67;-52,54;54,55
20,40999984741211;0,21;14,57;-52,59;54,57
20,509999990463257;0,31;14,53;-52,63;54,60
20,611999988555908;0,23;14,47;-52,55;54,51
20,710000038146973;0,22;14,46;-52,53;54,48
20,80999994277954;0,19;14,42;-52,52;54,47
20,90999984741211;0,18;14,66;-52,35;54,36
21,009999990463257;0,20;14,49;-52,39;54,36
21,11299991607666;0,08;14,76;-52,58;54,61
21,210999965667725;0,07;14,71;-52,52;54,54
21,30999994277954;0,12;14,63;-52,59;54,59
21,412999868392944;0,15;14,76;-52,77;54,80
21,513000011444092;0,14;14,53;-52,60;54,57
21,609999895095825;0,18;14,53;-52,62;54,59
21,70899987220764;0,19;14,49;-52,54;54,50
21,80999994277954;0,16;14,48;-52,67;54,63
21,914000034332275;0,24;14,59;-52,65;54,64
22,013999938964844;0,11;14,58;-52,57;54,55
22,113999843597412;0,12;14,57;-52,68;54,66
22,213000059127808;0,10;14,51;-52,54;54,51
22,312999963760376;0,10;14,64;-52,45;54,45
22,412999868392944;0,18;14,52;-52,36;54,34
22,51199984550476;0,13;14,63;-52,41;54,42
22,61299991607666;0,22;14,52;-52,44;54,42
22,713000059127808;0,27;14,48;-52,41;54,37
22,812000036239624;0,19;14,52;-52,50;54,47
22,912999868392944;0,20;14,50;-52,18;54,15
23,014999866485596;0,13;14,58;-52,54;54,53
23,11299991607666;0,20;14,45;-52,66;54,60
23,21499991416931;0,14;14,61;-52,56;54,56
23,313999891281128;0,14;14,45;-52,47;54,42
23,411999940872192;0,21;14,37;-52,56;54,49
23,514999866485596;0,20;14,30;-52,05;53,98
23,613999843597412;0,30;14,41;-52,61;54,55
23,71399998664856;0,14;14,56;-52,48;54,46
23,813999891281128;0,16;14,47;-52,57;54,53
23,91599988937378;0,19;14,52;-52,79;54,75
24,014999866485596;0,12;14,50;-52,88;54,83
24,111999988555908;0,10;14,51;-52,63;54,59
24,21499991416931;0,17;14,52;-52,78;54,74
24,313999891281128;0,18;14,44;-52,84;54,77
24,41599988937378;0,08;14,61;-52,81;54,79
24,516000032424927;0,20;14,35;-52,84;54,76
24,615999937057495;0,16;14,39;-52,77;54,70
24,715999841690063;0,18;14,32;-52,59;54,51
24,81500005722046;0,17;14,46;-52,56;54,52
24,91700005531311;0,15;14,62;-52,64;54,63
25,01699995994568;0,18;14,47;-53,03;54,97
25,115000009536743;0,17;14,55;-52,74;54,71
25,217000007629395;0,16;14,65;-52,77;54,77
25,316999912261963;0,17;14,49;-52,79;54,74
25,41599988937378;0,06;14,61;-52,86;54,84
25,516000032424927;0,17;14,53;-52,76;54,72
25,616999864578247;0,18;14,45;-52,51;54,46
25,717000007629395;0,11;14,52;-52,54;54,51
25,816999912261963;0,12;14,53;-52,62;54,59
25,91599988937378;0,18;14,55;-52,49;54,47
26,01799988746643;0,17;14,58;-52,59;54,58
26,116999864578247;0,18;14,53;-52,57;54,54
26,21499991416931;0,14;14,54;-52,59;54,56
26,31599998474121;0,13;14,55;-52,65;54,63
26,41700005531311;0,09;14,69;-52,73;54,74
26,516000032424927;0,13;14,62;-52,54;54,54
26,618000030517578;0,16;14,60;-52,70;54,69
26,717999935150146;0,18;14,61;-52,51;54,50
26,81599998474121;0,05;14,64;-52,50;54,50
26,917999982833862;0,08;14,57;-52,56;54,54
27,01799988746643;0,14;14,66;-52,53;54,54
27,118000030517578;0,17;14,53;-52,53;54,51
27,215999841690063;0,20;14,38;-52,68;54,61
27,319000005722046;0,12;14,52;-52,72;54,68
27,417999982833862;0,17;14,50;-52,63;54,59
27,51799988746643;0,17;14,54;-52,69;54,66
27,618000030517578;0,29;14,51;-52,88;54,84
27,717000007629395;0,18;14,53;-52,68;54,64
27,819000005722046;0,12;14,70;-52,94;54,95
27,918999910354614;0,14;14,59;-52,82;54,80
28,01699995994568;0,16;14,67;-52,62;54,62
28,118000030517578;0,17;14,62;-52,64;54,64
28,217999935150146;0,17;14,54;-52,54;54,52
28,317999839782715;0,09;14,56;-52,73;54,70
28,417999982833862;0,14;14,61;-52,79;54,78
28,51900005340576;0,31;14,40;-52,55;54,49
28,618000030517578;0,28;14,58;-52,72;54,70
28,717999935150146;0,33;14,48;-52,67;54,63
28,817999839782715;0,29;14,35;-52,59;54,51
28,919999837875366;0,25;14,42;-52,65;54,59
29,01799988746643;0,32;14,36;-52,71;54,64
29,118000030517578;0,24;14,52;-52,44;54,42
29,217999935150146;0,32;14,40;-52,30;54,25
29,319999933242798;0,31;14,46;-52,62;54,57
29,419999837875366;0,12;14,49;-52,63;54,59
29,51900005340576;0,04;14,59;-52,68;54,66
29,618000030517578;0,16;14,63;-52,63;54,63
29,72000002861023;0,14;14,54;-52,84;54,80
29,819000005722046;0,11;14,66;-52,90;54,89
29,919999837875366;0,15;14,45;-52,82;54,76
30,019999980926514;0,14;14,34;-52,69;54,61
30,118000030517578;0,14;14,40;-52,80;54,73
30,2189998626709;0,14;14,50;-52,79;54,75
30,319000005722046;0,09;14,69;-52,97;54,97
30,421000003814697;0,20;14,57;-52,92;54,89
30,520999908447266;0,23;14,52;-52,87;54,83
30,619999885559082;0,10;14,46;-52,95;54,89
30,7189998626709;0,18;14,54;-52,76;54,73
30,819999933242798;0,21;14,56;-52,79;54,76
30,918999910354614;0,23;14,50;-52,70;54,66
31,019999980926514;0,19;14,51;-52,75;54,71
